id,title,titleJa,titleEn,image,mean,rank,num_list_users,num_scoring_users,num_episodes,start_date,end_date,media_type,status,rating,average_episode_duration,genres,studios
52991,Sousou no Frieren,葬送のフリーレン,Frieren: Beyond Journey's End,https://cdn.myanimelist.net/images/anime/1015/138006.webp,9.3,1.0,1154793,684815,28,2023-09-29,2024-03-22,tv,finished_airing,pg_13,1470,"Adventure, Drama, Fantasy, Shounen",Madhouse
5114,Fullmetal Alchemist: Brotherhood,鋼の錬金術師 FULLMETAL ALCHEMIST,Fullmetal Alchemist: Brotherhood,https://cdn.myanimelist.net/images/anime/1208/94745.jpg,9.1,2.0,3538757,2227039,64,2009-04-05,2010-07-04,tv,finished_airing,r,1460,"Action, Adventure, Drama, Fantasy, Military, Shounen",Bones
9253,Steins;Gate,STEINS;GATE,Steins;Gate,https://cdn.myanimelist.net/images/anime/1935/127974.jpg,9.07,3.0,2710249,1469695,24,2011-04-06,2011-09-14,tv,finished_airing,pg_13,1460,"Drama, Psychological, Sci-Fi, Suspense, Time Travel",White Fox
28977,Gintama°,銀魂°,Gintama Season 4,https://cdn.myanimelist.net/images/anime/3/72078.webp,9.05,5.0,670372,264637,51,2015-04-08,2016-03-30,tv,finished_airing,pg_13,1440,"Action, Comedy, Gag Humor, Historical, Parody, Samurai, Sci-Fi, Shounen",Bandai Namco Pictures
38524,Shingeki no Kyojin Season 3 Part 2,進撃の巨人 Season3 Part.2,Attack on Titan Season 3 Part 2,https://cdn.myanimelist.net/images/anime/1517/100633.webp,9.05,4.0,2461239,1704851,10,2019-04-29,2019-07-01,tv,finished_airing,r,1435,"Action, Drama, Gore, Military, Shounen, Survival, Suspense",Wit Studio
39486,Gintama: The Final,銀魂 THE FINAL,Gintama: The Very Final,https://cdn.myanimelist.net/images/anime/1245/116760.jpg,9.04,6.0,171226,81070,1,2021-01-08,2021-01-08,movie,finished_airing,pg_13,6240,"Action, Comedy, Drama, Gag Humor, Historical, Parody, Samurai, Sci-Fi, Shounen",Bandai Namco Pictures
60022,One Piece Fan Letter,ONE PIECE FAN LETTER,,https://cdn.myanimelist.net/images/anime/1455/146229.webp,9.04,7.0,116022,84998,1,2024-10-20,2024-10-20,tv_special,finished_airing,pg_13,1495,"Action, Adventure, Fantasy, Shounen",Toei Animation
11061,Hunter x Hunter (2011),HUNTER×HUNTER（ハンター×ハンター）,Hunter x Hunter,https://cdn.myanimelist.net/images/anime/1337/99013.webp,9.03,8.0,3040745,1887249,148,2011-10-02,2014-09-24,tv,finished_airing,pg_13,1417,"Action, Adventure, Fantasy, Shounen",Madhouse
9969,Gintama',銀魂',Gintama Season 2,https://cdn.myanimelist.net/images/anime/4/50361.jpg,9.02,9.0,592364,249726,51,2011-04-04,2012-03-26,tv,finished_airing,pg_13,1460,"Action, Comedy, Gag Humor, Historical, Parody, Samurai, Sci-Fi, Shounen",Sunrise
15417,Gintama': Enchousen,銀魂' 延長戦,Gintama: Enchousen,https://cdn.myanimelist.net/images/anime/1452/123686.webp,9.02,10.0,346920,174132,13,2012-10-04,2013-03-28,tv,finished_airing,pg_13,1460,"Action, Comedy, Gag Humor, Historical, Parody, Samurai, Sci-Fi, Shounen",Sunrise
820,Ginga Eiyuu Densetsu,銀河英雄伝説,Legend of the Galactic Heroes,https://cdn.myanimelist.net/images/anime/1976/142016.webp,9.01,11.0,346329,84403,110,1988-01-08,1997-03-17,ova,finished_airing,r,1560,"Adult Cast, Drama, Military, Sci-Fi, Space","K-Factory, Kitty Film Mitaka Studio"
41467,Bleach: Sennen Kessen-hen,BLEACH 千年血戦篇,Bleach: Thousand-Year Blood War,https://cdn.myanimelist.net/images/anime/1908/135431.webp,8.99,12.0,644031,342778,13,2022-10-11,2022-12-27,tv,finished_airing,r,1471,"Action, Adventure, Shounen, Supernatural",Pierrot
34096,Gintama.,銀魂。,Gintama Season 5,https://cdn.myanimelist.net/images/anime/3/83528.jpg,8.98,13.0,336708,154784,12,2017-01-09,2017-03-27,tv,finished_airing,pg_13,1440,"Action, Comedy, Gag Humor, Historical, Parody, Samurai, Sci-Fi, Shounen",Bandai Namco Pictures
43608,Kaguya-sama wa Kokurasetai: Ultra Romantic,かぐや様は告らせたい-ウルトラロマンティック-,Kaguya-sama: Love is War -Ultra Romantic-,https://cdn.myanimelist.net/images/anime/1160/122627.webp,8.98,14.0,1039649,590107,13,2022-04-09,2022-06-25,tv,finished_airing,pg_13,1439,"Comedy, Romance, School, Seinen",A-1 Pictures
42938,Fruits Basket: The Final,フルーツバスケット The Final,Fruits Basket: The Final Season,https://cdn.myanimelist.net/images/anime/1085/114792.jpg,8.95,15.0,532050,263901,13,2021-04-06,2021-06-29,tv,finished_airing,pg_13,1380,"Drama, Romance, Shoujo, Supernatural",TMS Entertainment
